mean_train_score,std_train_score,mean_test_score,std_test_score,rank_test_score,param_n_estimators,param_max_depth,param_min_samples_split,generalization_gap,score_delta_from_best,max_depth_label
0.5423624969443549,0.008325479389488598,0.5016991910498767,0.019052856912426863,1,200,5,10,0.0406633058944782,0.0,5
0.5440522202080676,0.007097271714803823,0.5006280364487473,0.01668554454324387,2,50,5,2,0.043424183759320334,0.001071154601129387,5
0.5461124110581406,0.007887184329861453,0.5006058879601696,0.02179832736505765,3,200,5,2,0.045506523097970986,0.0010933030897071205,5
0.5434193572146067,0.00608210050090865,0.5000630908279633,0.021312553040304084,4,200,5,5,0.04335626638664336,0.0016361002219134058,5
0.5415072867092506,0.007509841606065569,0.4993749932601966,0.02169177546611355,5,100,5,2,0.04213229344905406,0.002324197789680127,5
0.5430040994014631,0.0076099225273659026,0.49845118265585453,0.0172660959455492,6,50,5,5,0.04455291674560857,0.0032480083940221727,5
0.5432163742934024,0.007390551571859833,0.4975921147837581,0.020542302453722187,7,50,5,10,0.04562425950964433,0.004107076266118614,5
