mean_train_score,std_train_score,mean_test_score,std_test_score,rank_test_score,param_n_estimators,param_max_depth,param_min_samples_split,generalization_gap,score_delta_from_best,max_depth_label
0.5423624969443549,0.008325479389488598,0.5016991910498767,0.019052856912426863,1,200,5,10,0.0406633058944782,0.0,5
0.5440522202080676,0.007097271714803823,0.5006280364487473,0.01668554454324387,2,50,5,2,0.043424183759320334,0.001071154601129387,5
0.5461124110581406,0.007887184329861453,0.5006058879601696,0.02179832736505765,3,200,5,2,0.045506523097970986,0.0010933030897071205,5
0.5434193572146067,0.00608210050090865,0.5000630908279633,0.021312553040304084,4,200,5,5,0.04335626638664336,0.0016361002219134058,5
0.5415072867092506,0.007509841606065569,0.4993749932601966,0.02169177546611355,5,100,5,2,0.04213229344905406,0.002324197789680127,5
0.5430040994014631,0.0076099225273659026,0.49845118265585453,0.0172660959455492,6,50,5,5,0.04455291674560857,0.0032480083940221727,5
0.5432163742934024,0.007390551571859833,0.4975921147837581,0.020542302453722187,7,50,5,10,0.04562425950964433,0.004107076266118614,5
0.5383499523834384,0.008611139531380584,0.49645678157536033,0.025656578866129855,8,100,5,10,0.041893170808078084,0.005242409474516374,5
0.5415705170425558,0.007964854384316282,0.49582726363438817,0.02113467328345135,9,100,5,5,0.045743253408167595,0.0058719274154885315,5
0.5099673608245725,0.006651459788388804,0.49555477737857245,0.016093936780570698,10,200,3,5,0.014412583446000049,0.00614441367130425,3
0.5099673608245725,0.006651459788388804,0.4952893021130972,0.01656298075132902,11,200,3,2,0.014678058711475317,0.0064098889367795175,3
0.5097602370615932,0.006840193133183872,0.494148823654564,0.015888431214577416,12,200,3,10,0.015611413407029262,0.007550367395312729,3
0.7207554132475765,0.009080514997427003,0.49407327944591783,0.029253859793084726,13,100,10,10,0.2266821338016587,0.007625911603958868,10
0.5077888065781964,0.005766142665219163,0.490723078501877,0.01792449690455981,14,50,3,2,0.017065728076319342,0.010976112547999683,3
0.5077888065781964,0.005766142665219163,0.490723078501877,0.01792449690455981,14,50,3,5,0.017065728076319342,0.010976112547999683,3
0.5072143554347954,0.0053558991117598825,0.49018644279496265,0.01888587765929237,16,50,3,10,0.017027912639832776,0.011512748254914051,3
0.5077923616779728,0.006383564373556099,0.48939834245980773,0.016311977860024918,17,100,3,10,0.01839401921816508,0.012300848590068969,3
0.5078213946197054,0.0068844938940366305,0.4893794048592017,0.016309442243025506,18,100,3,2,0.018441989760503708,0.012319786190674975,3
0.5078213946197054,0.0068844938940366305,0.4893794048592017,0.016309442243025506,18,100,3,5,0.018441989760503708,0.012319786190674975,3
0.7220178034809491,0.010669989642545204,0.48696325935703877,0.032281450404359806,20,200,10,10,0.23505454412391036,0.014735931692837934,10
0.7168296089303843,0.011068917685542589,0.4838282142732343,0.027897431457618582,21,50,10,10,0.23300139465714997,0.0178709767766424,10
0.7848214990050355,0.01008680432447955,0.4731659569140114,0.02239169190564549,22,200,10,5,0.3116555420910241,0.028533234135865282,10
0.8626633414879791,0.006568215444555296,0.47055370073780456,0.027964073423606343,23,50,,10,0.3921096407501745,0.031145490312072144,None
0.8730627650017123,0.00463600103087485,0.46814911532080145,0.02823495416485237,24,200,20,10,0.40491364968091087,0.03355007572907526,20
0.8677883894299452,0.01011513007345502,0.46808924727732854,0.03210426126875184,25,100,,10,0.39969914215261665,0.03360994377254817,None
0.8624484199165806,0.006575054116013109,0.46806951447066697,0.023043023429709503,26,50,20,10,0.39437890544591364,0.03362967657920973,20
0.8717763198494917,0.004750915489388299,0.46730544125757384,0.02935137191905359,27,200,,10,0.4044708785919178,0.03439374979230286,None
0.7807632991976943,0.006403355052386865,0.4656536380373263,0.02428081852004478,28,50,10,5,0.315109661160368,0.03604555301255041,10
0.8678536652450772,0.009659957712118887,0.46555833206437347,0.03423243921643456,29,100,20,10,0.40229533318070376,0.03614085898550323,20
0.7826554165654177,0.009542680205057564,0.4641724806421562,0.0219760643385597,30,100,10,5,0.3184829359232615,0.03752671040772049,10
0.817248790205389,0.014069070585828472,0.45475753238906724,0.02091005760500619,31,200,10,2,0.36249125781632174,0.04694165866080946,10
0.8140781312478331,0.016535323966698108,0.44751253482942055,0.024178894903783884,32,100,10,2,0.3665655964184126,0.05418665622045615,10
0.809402709485896,0.008657265045964271,0.44129740006412854,0.023639265019082294,33,50,10,2,0.36810530942176745,0.06040179098574816,10
0.9765528386820872,0.004886236617017827,0.425785911925757,0.01873554334713228,34,100,20,5,0.5507669267563302,0.07591327912411971,20
0.9769732407712695,0.0032834902687389643,0.4191738692273906,0.020181161916413174,35,100,,5,0.5577993715438789,0.08252532182248612,None
0.9698269042496731,0.0017499641261196565,0.4190272164752951,0.02411206316596932,36,50,20,5,0.5507996877743779,0.08267197457458159,20
0.9696634048464411,0.0016705539968665574,0.41680017031852856,0.02447178941212981,37,50,,5,0.5528632345279125,0.08489902073134814,None
0.9805964842892531,0.002433111040911488,0.4123227344643216,0.021561792752088967,38,200,20,5,0.5682737498249315,0.0893764565855551,20
0.9820423157111986,0.001759978422342435,0.40677325767340333,0.011372467925337871,39,200,,5,0.5752690580377953,0.09492593337647337,None
1.0,0.0,0.3482518526404665,0.024424625346335865,40,200,20,2,0.6517481473595335,0.15344733840941022,20
0.9995749202975558,0.0005206141855011803,0.3466688726229089,0.013959128415476087,41,100,,2,0.6529060476746469,0.1550303184269678,None
1.0,0.0,0.3448499030330493,0.008438331406919469,42,200,,2,0.6551500969669507,0.1568492880168274,None
0.9995749202975558,0.0005206141855011803,0.33939026993601723,0.03531996914198285,43,100,20,2,0.6601846503615385,0.16230892111385947,20
0.9980848764271062,0.0012420299657565298,0.327830591210874,0.020518763005919725,44,50,20,2,0.6702542852162322,0.1738685998390027,20
0.9980844237361284,0.001242492536939508,0.3261722471757179,0.007887277358048951,45,50,,2,0.6719121765604105,0.1755269438741588,None
