param_min_samples_split,mean_train_score,mean_test_score,mean_generalization_gap
10,0.7009261002923501,0.482804786701538,0.21812131359081227
5,0.7571644625999447,0.45819160223573646,0.29897286036420817
2,0.7728865501130265,0.42351546046966265,0.34937108964336383
