model_family,inner_best_score_mean,outer_nested_score_mean,gap_mean,abs_gap_mean,inner_best_score_std,outer_nested_score_std,gap_std
Random Forest,0.498697845447747,0.4860674540114592,0.012630391436287825,0.021773171307685156,0.00478209175377529,0.026993727414470228,0.03089204231349907
Decision Tree,0.476392209718299,0.4629494633159851,0.013442746402313821,0.025953887624311722,0.01267208103002478,0.020870335662031787,0.03154614044673669
